14.9	37.5	28.5	30.2	0	42	37
18.1	40.5	31.7	33.4	0	42	35
22.2	33	27.8	27.5	0	45	40
18.7	24.9	21.4	21	0	55	51
18	27.5	22.9	23.7	0	54	53
20.4	32.5	27.2	28.3	0	50	45
18.4	38.3	30.6	32	0	44	37
19.3	32.4	27.5	29.3	0	43	37
17.5	30.6	25.7	27.1	0	35	31
11.5	34.6	25.7	27.9	0	40	34
14.6	37	28.3	30.1	0	39	31
17.8	28.5	23.9	24.5	0	44	42
18.5	29.9	25.4	26.7	0	43	42
20.8	31	26.9	28	0	49	50
22.2	32.5	27.5	27.7	0	53	52
22.5	35.6	30.7	31.8	0.2	45	40
21.7	37	30.6	31.5	0	44	36
21.1	38	29.6	29.6	17	55	57
20	28	24.1	24.7	0	72	68
20.7	36	29.6	31.2	0	60	56
21.4	30.4	23.3	23	0	41	32
15.2	29.6	24	24.5	0	37	29
15.5	33.7	27	29.5	0	38	31
22.2	33.8	29.1	29.7	0	46	40
20	37.7	31.3	32.7	0	44	41
21.6	41.4	34.2	36.6	0	38	32
20.9	43.2	35	37.8	0	33	24
22.5	44.1	36	38.7	0	31	24
23.2	43.7	35.3	36.8	0	32	31
22.8	43.6	36.3	39.1	0	34	26
26	38.6	30.8	31.4	0	40	37
19.8	35.7	29.2	30	0	36	32
24.7	38	33.1	34.5	18	42	38
23.1	35.1	29.9	31.1	0.2	66	64
21.9	30.4	24.3	24.1	0.4	69	68
19	27.3	23.6	24.6	0	55	53
21.4	34	28.6	30.3	0	56	51
23	36	29	28.6	2	55	54
19	23.6	21.4	21.7	0.3	85	85
20.1	26.8	23.6	24.3	0.1	82	78
20	34.8	29.4	31.1	0	63	58
24.3	41.4	34.4	35	38	50	45
21.2	32	26.7	27.3	111	78	76
21.6	28.8	24.8	24.9	3	87	90
22.5	34.2	29.2	30.4	0	71	65
23.5	37.6	32.3	33.7	0	63	59
22.6	39.5	30.5	30.2	79	69	64
21.1	29	25.3	25.7	0	70	69
23.4	32.8	29	29.8	0	66	67
24.5	37.2	32.1	33.1	0	65	62
26	40.4	34.2	34.8	0.4	63	62
24.9	35.1	30.7	31.6	0	66	62
25.1	39.6	33.3	34.7	11	63	59
23.4	32.7	27.5	27.9	2	79	79
24.2	32.2	28.6	29.1	0	74	72
24.6	35.6	31.3	32.2	0	70	68
24.2	36.2	31.5	32.3	37	68	68
19	31.9	21.9	21.6	24	85	89
20.4	29.5	26.2	27.3	0	73	69
24.3	35.2	30.6	31.4	7	67	63
22	30.2	23.8	23.9	1	84	81
20.3	26.5	22.5	21.9	5	87	92
21	28.4	25.3	26.4	0	81	80
18.6	26.4	22.1	23.3	2	88	90
17.3	22.7	20.1	20	4	86	85
19.4	23.8	21.7	22	1	86	84
20.3	24.6	22.8	23	34	90	90
20.5	25.5	23.1	23.2	0.4	90	89
20.8	29.9	24.3	24.2	3	81	76
20.4	30.1	25.9	27.3	0	65	61
20.2	31.1	27.1	28.1	0	57	52
18	31.5	26	26.9	0	65	59
22.2	32.6	27.9	28.7	0	70	68
23.4	34	29.5	30.1	1	69	66
23.5	34.4	29.7	30	40	69	65
21.3	30	25.9	26.7	89	82	83
21.8	32.5	27.7	28.4	0	79	80
22.1	28.3	24.5	23.9	2	87	91
21.2	28.2	24.7	25.5	12	83	83
22	30.9	27.1	28	0	78	75
23.9	33.8	29.6	30	0	75	73
25	35.2	30.9	31.7	48	71	65
21.8	30.4	26.5	27.2	0	82	79
24.1	34	29.9	30.7	3	73	69
23.8	32.5	27.4	27.8	0.3	80	80
23.6	36.4	30.9	32	0	70	67
24.7	32	27.4	27.3	5	84	84
21.4	32.6	27.3	27.6	68	72	69
21.2	30	25.5	25.6	13	81	82
22.8	33	28.6	30.3	5	72	65
22.2	28.4	24.9	24.8	16	86	89
21.4	31.5	27.4	28.9	0	76	69
23.4	32.1	28.6	29.7	0	79	77
23.8	34.8	29.9	30.7	0	74	71
20.8	32.9	25.5	24.2	19	85	91
19.6	27	23.6	23.7	0	76	74
19.7	27.1	24.7	25.8	0.7	77	75
21	31.7	26.5	27.1	0.2	82	83
22.8	33	29.2	30	17	75	71
21.8	33.5	29.4	30.9	0	72	67
19.6	32	25.2	25.1	5	80	78
17.5	24.5	20.9	21.1	0	62	57
19.1	28.4	23.9	24.3	0	63	57
19.4	28.2	24.4	24.5	0	64	67
19.1	32.8	27.6	29.3	0	63	56
22.7	36	30.7	31.5	0	62	55
24.6	35.8	31.3	32.6	0	66	58
22	31.4	26.1	26.4	0	71	69
19.3	34	27.3	28.1	6	70	70
20.7	33.8	28.9	29.5	0	62	57
21.5	34.3	28.8	29.3	0	63	55
20.5	34.2	28.8	29.6	0	59	49
22	34.3	29	29.4	0.6	61	60
21.7	31.6	27.6	28.2	0	71	67
22.2	32.8	27.2	28.1	0.2	68	65
20.2	37.5	30.3	32	0	55	52
20.8	36.8	30.1	30.9	0	56	53
20	38.6	31.6	33.3	0	53	50
22.1	39.4	32.5	33.9	0	54	51
21.5	37.4	32	32.4	0	60	59
25.4	31.3	27.2	27	3	81	83
22.5	33.6	28.9	30.3	0	75	72
22.8	35.2	30.6	32	0	69	64
23.8	36.6	30.6	30.6	5	68	66
23.5	30.5	27.6	28.2	0	80	80
22.1	33.7	29.3	30.3	0	70	62
24.5	38.2	32.6	33.3	0	64	62
